"unique","milk.1","milk.2","milk.3","milk.4","milk.5","milk.6","milk.7","milk.8","milk.9","milk.10","dim.1","dim.2","dim.3","dim.4","dim.5","dim.6","dim.7","dim.8","dim.9","dim.10"
"K121-P57",41.3,41.9,42.2,37.9,35.7,35.9,32.4,30.1,28.3,22.3,22,53,85,114,145,174,198,244,270,295
"K13-P435",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K125-P135",46.3,39.8,37,45.9,41,39.8,34.1,32.3,33.1,25.9,31,50,117,151,185,214,248,273,302,331
"K115-P79",29,29.2,26.8,26.4,23,23.6,22.4,20.2,19.6,16,30,57,85,114,149,177,205,233,267,296
"K125-P96",36.9,41.8,24.8,35.3,30.3,34.2,NA,NA,NA,NA,8,71,101,136,163,182,NA,NA,NA,NA
"K120-P66",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K130-P494",41.8,44.4,40.2,38.4,36.3,36.3,35.4,35.5,31.6,27,30,72,108,135,176,207,249,277,303,344
"K111-P177",24.4,24.2,21.8,23.4,21,20.6,18,14,16.2,16.2,31,54,88,117,146,179,208,243,265,293
"K102-P191",40.7,34.8,19.8,21.2,17.5,NA,NA,NA,NA,NA,16,45,199,234,261,NA,NA,NA,NA,NA
"K104-P327",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K12-P796",33.6,21.1,21.6,18.3,17.2,NA,NA,NA,NA,NA,67,136,213,289,325,NA,NA,NA,NA,NA
"K11-P42",45.3,49,49.1,42.1,35.4,31.6,29.6,25.2,20.7,25.9,11,46,76,109,135,166,192,222,250,277
"K129-P257",53,50,NA,NA,NA,NA,NA,NA,NA,NA,50,146,NA,NA,NA,NA,NA,NA,NA,NA
"K119-P26",36.5,42.6,32.3,31.6,26.4,25,21.4,20.5,18.6,NA,7,42,77,123,160,195,229,271,313,NA
"K126-P627",59.2,46.2,53.6,20.2,43.2,29.4,36.1,33.7,29.8,23.1,26,54,88,123,145,186,213,242,270,305
"K116-P98",NA,27.3,NA,NA,NA,NA,NA,NA,NA,NA,4,36,NA,NA,NA,NA,NA,NA,NA,NA
"K11-P20",31.1,31.3,25.4,26.8,31.3,27.4,27,26.7,26.3,23.2,8,34,64,92,119,153,181,212,251,279
"K128-P336",18.9,32.5,27.5,29.6,24,24.7,24.8,23.5,25.6,19.7,10,56,73,101,122,164,190,251,282,315
"K126-P985",18.9,33.6,44.6,36.7,36.7,30.7,37.2,34.6,35.4,31.5,1,29,63,98,120,161,188,217,245,280
"K1-P1028",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K130-P450",28.2,40.9,40.1,NA,NA,NA,NA,NA,NA,NA,10,40,89,NA,NA,NA,NA,NA,NA,NA
"K116-P115",21,21.8,18.7,17.9,11.5,NA,NA,NA,NA,NA,23,60,89,114,151,NA,NA,NA,NA,NA
"K108-P128",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K119-P43",35.8,49.2,39.4,45.6,33.1,32.6,29.3,23.2,NA,NA,11,46,80,122,164,194,235,278,NA,NA
"K107-P331",30.1,25.4,23.2,22.3,20,23.2,21.4,18,13.3,12.1,35,65,100,129,162,197,226,260,289,318
"K106-P366",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
